"","GOOGL.Open","GOOGL.High","GOOGL.Low","GOOGL.Close","GOOGL.Volume","GOOGL.Adjusted"
"2022-03-01",134.878494262695,136.255493164062,133.218505859375,134.061492919922,26496000,133.05615234375
"2022-03-02",134.628005981445,135.262496948242,133.071502685547,134.571502685547,23520000,133.562347412109
"2022-03-03",136.009994506836,136.439498901367,133.025497436523,133.899505615234,24604000,132.895385742188
"2022-03-04",132.927505493164,133.851501464844,130.337493896484,131.906494140625,30430000,130.917327880859
"2022-03-07",131.488006591797,131.735000610352,126.294998168945,126.37850189209,45112000,125.430778503418
"2022-03-08",126.25,131.25,125.674499511719,127.104499816895,40428000,126.151336669922
"2022-03-09",131.25,133.735504150391,129.900497436523,133.419998168945,37026000,132.419479370117
"2022-03-10",131.266006469727,133.272003173828,130.912506103516,132.429504394531,27102000,131.436416625977
"2022-03-11",133.488494873047,133.795501708984,129.631500244141,129.870498657227,31526000,128.896591186523
"2022-03-14",130.25,130.408996582031,125.275001525879,125.950996398926,38812000,125.006477355957
"2022-03-15",126.975997924805,129.854507446289,125.720497131348,129.197998046875,30920000,128.229125976562
"2022-03-16",130.733001708984,133.332992553711,128.734497070312,133.280502319336,35576000,132.281005859375
"2022-03-17",133.149002075195,134.080505371094,132.184997558594,133.839004516602,28264000,132.835342407227
"2022-03-18",133.424499511719,136.244003295898,132.258499145508,136.125503540039,44566000,135.104690551758
"2022-03-21",136.163497924805,137.050003051758,134.092498779297,136.101501464844,26832000,135.08088684082
"2022-03-22",136.101501464844,141.050003051758,136.101501464844,139.86799621582,35496000,138.819107055664
"2022-03-23",138.702499389648,139.588500976562,137.835006713867,138.275497436523,25154000,137.238555908203
"2022-03-24",139.199996948242,141.619003295898,137.750503540039,141.572006225586,26396000,140.510345458984
"2022-03-25",141.916000366211,142.035003662109,139.737503051758,141.673004150391,24126000,140.610580444336
"2022-03-28",140.900497436523,142.002502441406,139.811492919922,141.455505371094,35050000,140.394714355469
"2022-03-29",142.647506713867,143.793502807617,142.038497924805,142.505493164062,34318000,141.43684387207
"2022-03-30",142.460006713867,142.720504760742,141.600006103516,141.938507080078,19884000,140.874084472656
"2022-03-31",142.052993774414,142.108001708984,139.024505615234,139.067504882812,37524000,138.024627685547
"2022-04-01",139.5,140.470993041992,138.307495117188,140.150497436523,25942000,139.099502563477
"2022-04-04",140.358505249023,143.712005615234,140.310501098633,142.971496582031,25942000,141.899353027344
"2022-04-05",142.869003295898,142.990493774414,140.382507324219,140.591003417969,21418000,139.536712646484
"2022-04-06",138.75,139.360504150391,135.516998291016,136.548004150391,32468000,135.524017333984
"2022-04-07",136.009994506836,137.164505004883,134.227493286133,135.88850402832,26234000,134.86946105957
"2022-04-08",135.58349609375,135.669998168945,132.96549987793,133.287506103516,25142000,132.287979125977
"2022-04-11",131.823501586914,132.092498779297,128.668502807617,128.823501586914,36884000,127.857452392578
"2022-04-12",131.600006103516,131.600006103516,126.789001464844,127.714500427246,32710000,126.756759643555
"2022-04-13",128,130.333999633789,127.740997314453,129.893997192383,27928000,128.919906616211
"2022-04-14",130.479507446289,130.479507446289,126.600997924805,126.730003356934,31598000,125.779647827148
"2022-04-18",127,128.212493896484,126.181999206543,127.676498413086,20808000,126.719047546387
"2022-04-19",127.691497802734,130.332992553711,126.999496459961,130.009002685547,26490000,129.034057617188
"2022-04-20",130.891998291016,131.399002075195,127.5,128.039993286133,31696000,127.079818725586
"2022-04-21",129.25,130.098495483398,124.526496887207,124.814498901367,36446000,123.878509521484
"2022-04-22",125,125.402000427246,118.925003051758,119.635498046875,56884000,118.738349914551
"2022-04-25",119.100997924805,123.277496337891,118.511001586914,123.073997497559,46128000,122.151062011719
"2022-04-26",122.294502258301,122.51000213623,118.511001586914,118.650001525879,73054000,117.760238647461
"2022-04-27",114.469497680664,117.241996765137,112.736503601074,114.294502258301,91820000,113.437408447266
"2022-04-28",116.415000915527,119.64949798584,114.11499786377,118.522499084473,48884000,117.633689880371
"2022-04-29",116.734497070312,117.919998168945,113.814498901367,114.109497070312,42676000,113.253784179688
"2022-05-02",113.404998779297,116.745498657227,112.599998474121,116.583000183105,35534000,115.70873260498
"2022-05-03",116.43049621582,118.442001342773,116.03450012207,117.333999633789,24968000,116.454109191895
"2022-05-04",117.03150177002,122.854499816895,115.115997314453,122.261001586914,49916000,121.344161987305
"2022-05-05",120.204002380371,121.039001464844,115.005500793457,116.505500793457,45840000,115.631813049316
"2022-05-06",115.184501647949,117.571502685547,114.015502929688,115.74649810791,39710000,114.87850189209
"2022-05-09",113.25,115.077003479004,112.000503540039,112.511001586914,40802000,111.667274475098
"2022-05-10",115.507499694824,116.25,112.900497436523,114.394996643066,39900000,113.537139892578
"2022-05-11",113.236503601074,116.364501953125,113.236503601074,113.602500915527,37534000,112.750587463379
"2022-05-12",111.377502441406,114.294998168945,109.824501037598,112.84400177002,53836000,111.997787475586
